StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
748;60200666;Keplerplatz U;Wien;49000001;16.3760451;48.1781681
749;60201154;Scalagasse;Wien;49000001;16.3574949;48.1822172
750;60200377;Gattergasse;Wien;49000001;16.4225598;48.1606859
751;60201018;Pilgramgasse U;Wien;49000001;16.3539106;48.1927699
752;60200043;Am Kanal, Hasenleitengasse;Wien;49000001;16.418221;48.1635501
753;60201085;Reinprechtsdorfer Brücke;Wien;49000001;16.3514582;48.1890449
754;60201086;Reinprechtsdorfer Straße / Arbeitergasse;Wien;49000001;16.3532818;48.186296
755;60200306;Fendigasse;Wien;49000001;16.3555365;48.18408
756;60200849;Matzleinsdorfer Platz S;Wien;49000001;16.3591568;48.1803903
757;60200296;Evangelischer Friedhof;Wien;49000001;16.3601808;48.1797973
758;60200307;Sonnleithnergasse;Wien;49000001;16.3625793;48.1789707
759;60200286;Erlachplatz;Wien;49000001;16.3686879;48.1785754
760;60201474;Wielandplatz;Wien;49000001;16.380348;48.1775451
761;60200136;Laxenburger Straße / Gudrunstraße;Wien;49000001;16.3720655;48.1784017
762;60200666;Keplerplatz U;Wien;49000001;16.3760181;48.1780542
763;60201154;Scalagasse;Wien;49000001;16.3573601;48.1824867
764;60201095;Reumannplatz U;Wien;49000001;16.3788658;48.1754784
